web;title;library;url;size
"МБДОУ Кожильский д/с ""Колосок""";ПФХД на 2017 год и плановый период 2018 и 2019 годов.pdf;Финансово-хозяйственная деятельность;/blz/blz_ds_koj/fin/ПФХД на 2017 год и плановый период 2018 и 2019 годов.pdf;3,828585352
"МБДОУ Кожильский д/с ""Колосок""";Лицензия.pdf;Копии документов;/blz/blz_ds_koj/DocLib15/Лицензия.pdf;3,775505231
"МБДОУ Кожильский д/с ""Колосок""";Положение об общем родительском собрании.docx;Локальные нормативные акты;/blz/blz_ds_koj/DocLib13/Положение об общем родительском собрании.docx;3,738305327
"МБДОУ Кожильский д/с ""Колосок""";ПФХД на 31.12.2016 года.pdf;Финансово-хозяйственная деятельность;/blz/blz_ds_koj/fin/ПФХД на 31.12.2016 года.pdf;3,70591793
"МБДОУ Кожильский д/с ""Колосок""";ПФХД на 30 сентября 2016 г.pdf;Финансово-хозяйственная деятельность;/blz/blz_ds_koj/fin/ПФХД на 30 сентября 2016 г.pdf;3,692473342
"МБДОУ Кожильский д/с ""Колосок""";ПФХД на 31.12.2015 г.pdf;Финансово-хозяйственная деятельность;/blz/blz_ds_koj/fin/ПФХД на 31.12.2015 г.pdf;3,592261079
"МБДОУ Кожильский д/с ""Колосок""";Отчёт об использовании закреплённого государственного (муниципального)  имущества .docx;Отчеты о ФХД;/blz/blz_ds_koj/DocLib11/Отчёт об использовании закреплённого государственного (муниципального)  имущества .docx;3,572123089
"МБДОУ Кожильский д/с ""Колосок""";ПФХД на 11 января 2016 года.pdf;Финансово-хозяйственная деятельность;/blz/blz_ds_koj/fin/ПФХД на 11 января 2016 года.pdf;3,451885517
"МБДОУ Кожильский д/с ""Колосок""";Предписание МО и Н УР.pdf;Предписания и отчеты;/blz/blz_ds_koj/DocLib12/Предписание МО и Н УР.pdf;3,391277005
"МБДОУ Кожильский д/с ""Колосок""";DSCN0748.JPG;pages;/blz/blz_ds_koj/pages/DSCN0748.JPG;3,384121325
"МБДОУ Кожильский д/с ""Колосок""";Договор о медицинском обслуживании детей в МБДОУ.docx;pages;/blz/blz_ds_koj/pages/Договор о медицинском обслуживании детей в МБДОУ.docx;3,192256649
"МБДОУ Кожильский д/с ""Колосок""";Отчет о выполнении МЗ за 2016 год.pdf;Отчеты о ФХД;/blz/blz_ds_koj/DocLib11/Отчет о выполнении МЗ за 2016 год.pdf;3,173237757
"МБДОУ Кожильский д/с ""Колосок""";Изменения ПФХД за 2015 год.pdf;Финансово-хозяйственная деятельность;/blz/blz_ds_koj/fin/Изменения ПФХД за 2015 год.pdf;3,111457178
"МБДОУ Кожильский д/с ""Колосок""";национальная кукла 008.jpg;pages;/blz/blz_ds_koj/pages/национальная кукла 008.jpg;3,059443186
"МБДОУ Кожильский д/с ""Колосок""";Информация о территории района закреплённой за образовательной организацией.docx;Информация о приеме в детский сад;/blz/blz_ds_koj/DocLib14/Информация о территории района закреплённой за образовательной организацией.docx;2,686556182
"МБДОУ Кожильский д/с ""Колосок""";Положение обобщем собрании.docx;Локальные нормативные акты;/blz/blz_ds_koj/DocLib13/Положение обобщем собрании.docx;2,67748879
"МБДОУ Кожильский д/с ""Колосок""";паспорт дорожной безопасности.pdf;Копии документов;/blz/blz_ds_koj/DocLib15/паспорт дорожной безопасности.pdf;2,530281142
"МБДОУ Кожильский д/с ""Колосок""";Предписание Роспотребнадзора.pdf;Предписания и отчеты;/blz/blz_ds_koj/DocLib12/Предписание Роспотребнадзора.pdf;2,496649447
"МБДОУ Кожильский д/с ""Колосок""";DSCN5210.JPG;pages;/blz/blz_ds_koj/pages/DSCN5210.JPG;2,46193525
"МБДОУ Кожильский д/с ""Колосок""";развлечение март 2015 г. 014.jpg;pages;/blz/blz_ds_koj/pages/развлечение март 2015 г. 014.jpg;2,441188594
"МБДОУ Кожильский д/с ""Колосок""";DSCN5206.JPG;pages;/blz/blz_ds_koj/pages/DSCN5206.JPG;2,424812392
"МБДОУ Кожильский д/с ""Колосок""";буратино.jpg;pages;/blz/blz_ds_koj/pages/буратино.jpg;2,391608304
"МБДОУ Кожильский д/с ""Колосок""";DSCN5207.JPG;pages;/blz/blz_ds_koj/pages/DSCN5207.JPG;2,369440143
"МБДОУ Кожильский д/с ""Колосок""";DSCN6276.JPG;pages;/blz/blz_ds_koj/pages/DSCN6276.JPG;2,35841481
"МБДОУ Кожильский д/с ""Колосок""";DSCN5653.JPG;pages;/blz/blz_ds_koj/pages/DSCN5653.JPG;2,358097957
"МБДОУ Кожильский д/с ""Колосок""";План ФХД на 2016 год.docx;Отчеты о ФХД;/blz/blz_ds_koj/DocLib11/План ФХД на 2016 год.docx;2,351061699
"МБДОУ Кожильский д/с ""Колосок""";DSCN5305.JPG;pages;/blz/blz_ds_koj/pages/DSCN5305.JPG;2,347721739
"МБДОУ Кожильский д/с ""Колосок""";DSCN5296.JPG;pages;/blz/blz_ds_koj/pages/DSCN5296.JPG;2,327608789
"МБДОУ Кожильский д/с ""Колосок""";национальная кукла 009.jpg;pages;/blz/blz_ds_koj/pages/национальная кукла 009.jpg;2,317892281
"МБДОУ Кожильский д/с ""Колосок""";сад 007.jpg;pages;/blz/blz_ds_koj/pages/сад 007.jpg;2,29728142
"МБДОУ Кожильский д/с ""Колосок""";сад 012.jpg;pages;/blz/blz_ds_koj/pages/сад 012.jpg;2,289877265
"МБДОУ Кожильский д/с ""Колосок""";DSCN6273.JPG;pages;/blz/blz_ds_koj/pages/DSCN6273.JPG;2,285299749
"МБДОУ Кожильский д/с ""Колосок""";сад 010.jpg;pages;/blz/blz_ds_koj/pages/сад 010.jpg;2,269792245
"МБДОУ Кожильский д/с ""Колосок""";DSCN5649.JPG;pages;/blz/blz_ds_koj/pages/DSCN5649.JPG;2,268745377
"МБДОУ Кожильский д/с ""Колосок""";DSCN6095.JPG;pages;/blz/blz_ds_koj/pages/DSCN6095.JPG;2,268153083
"МБДОУ Кожильский д/с ""Колосок""";DSCN5208.JPG;pages;/blz/blz_ds_koj/pages/DSCN5208.JPG;2,26808952
"МБДОУ Кожильский д/с ""Колосок""";сад 009.jpg;pages;/blz/blz_ds_koj/pages/сад 009.jpg;2,267157259
"МБДОУ Кожильский д/с ""Колосок""";DSCN6283.JPG;pages;/blz/blz_ds_koj/pages/DSCN6283.JPG;2,266437839
"МБДОУ Кожильский д/с ""Колосок""";сад 008.jpg;pages;/blz/blz_ds_koj/pages/сад 008.jpg;2,254541882
"МБДОУ Кожильский д/с ""Колосок""";DSCN6102.JPG;pages;/blz/blz_ds_koj/pages/DSCN6102.JPG;2,25312423
"МБДОУ Кожильский д/с ""Колосок""";DSCN6104.JPG;pages;/blz/blz_ds_koj/pages/DSCN6104.JPG;2,222175673
"МБДОУ Кожильский д/с ""Колосок""";План ФХД на 1 октября 2015 года.docx;Финансово-хозяйственная деятельность;/blz/blz_ds_koj/fin/План ФХД на 1 октября 2015 года.docx;2,216715013
"МБДОУ Кожильский д/с ""Колосок""";DSCN6278.JPG;pages;/blz/blz_ds_koj/pages/DSCN6278.JPG;2,203705737
"МБДОУ Кожильский д/с ""Колосок""";DSCN5301.JPG;pages;/blz/blz_ds_koj/pages/DSCN5301.JPG;2,196289063
"МБДОУ Кожильский д/с ""Колосок""";DSCN5648.JPG;pages;/blz/blz_ds_koj/pages/DSCN5648.JPG;2,194850222
"МБДОУ Кожильский д/с ""Колосок""";Снежная сказка.docx;pages;/blz/blz_ds_koj/pages/Снежная сказка.docx;2,174277883
"МБДОУ Кожильский д/с ""Колосок""";Den snanij.docx;pages;/blz/blz_ds_koj/pages/Den snanij.docx;2,168698764
"МБДОУ Кожильский д/с ""Колосок""";DSCN5312.JPG;pages;/blz/blz_ds_koj/pages/DSCN5312.JPG;2,16058482
"МБДОУ Кожильский д/с ""Колосок""";сад 006.jpg;pages;/blz/blz_ds_koj/pages/сад 006.jpg;2,139655179
"МБДОУ Кожильский д/с ""Колосок""";DSCN5050.jpg;pages;/blz/blz_ds_koj/pages/DSCN5050.jpg;2,122031789
"МБДОУ Кожильский д/с ""Колосок""";DSCN6274.JPG;pages;/blz/blz_ds_koj/pages/DSCN6274.JPG;2,059986363
"МБДОУ Кожильский д/с ""Колосок""";Здравствуй, Удмуртия.docx;pages;/blz/blz_ds_koj/pages/Здравствуй, Удмуртия.docx;2,054351385
"МБДОУ Кожильский д/с ""Колосок""";Положение о комиссии по урегулированию споров.docx;Локальные нормативные акты;/blz/blz_ds_koj/DocLib13/Положение о комиссии по урегулированию споров.docx;2,024205074
"МБДОУ Кожильский д/с ""Колосок""";DSCN5307.JPG;pages;/blz/blz_ds_koj/pages/DSCN5307.JPG;2,010335768
"МБДОУ Кожильский д/с ""Колосок""";DSCN6277.JPG;pages;/blz/blz_ds_koj/pages/DSCN6277.JPG;2,009288901
"МБДОУ Кожильский д/с ""Колосок""";Волшебница Зима.docx;pages;/blz/blz_ds_koj/pages/Волшебница Зима.docx;1,99080837
"МБДОУ Кожильский д/с ""Колосок""";DSCN6282.JPG;pages;/blz/blz_ds_koj/pages/DSCN6282.JPG;1,975331685
"МБДОУ Кожильский д/с ""Колосок""";Изменение ПФХД от 26.03.2015.pdf;Финансово-хозяйственная деятельность;/blz/blz_ds_koj/fin/Изменение ПФХД от 26.03.2015.pdf;1,937190852
"МБДОУ Кожильский д/с ""Колосок""";DSCN6096.JPG;pages;/blz/blz_ds_koj/pages/DSCN6096.JPG;1,931298732
"МБДОУ Кожильский д/с ""Колосок""";Отчет по предписанию Мо и Н УР.pdf;Предписания и отчеты;/blz/blz_ds_koj/DocLib12/Отчет по предписанию Мо и Н УР.pdf;1,891480214
"МБДОУ Кожильский д/с ""Колосок""";Порядок оформления образовательных отношений.docx;Локальные нормативные акты;/blz/blz_ds_koj/DocLib13/Порядок оформления образовательных отношений.docx;1,849154802
"МБДОУ Кожильский д/с ""Колосок""";Приложение к лицензии.pdf;Копии документов;/blz/blz_ds_koj/DocLib15/Приложение к лицензии.pdf;1,838376017
"МБДОУ Кожильский д/с ""Колосок""";свидетельство о государственной регистрации МОУ.pdf;Копии документов;/blz/blz_ds_koj/DocLib15/свидетельство о государственной регистрации МОУ.pdf;1,810829057
"МБДОУ Кожильский д/с ""Колосок""";Порядок перевода, отчисления и восстановления обучающихся.docx;Локальные нормативные акты;/blz/blz_ds_koj/DocLib13/Порядок перевода, отчисления и восстановления обучающихся.docx;1,781353049
"МБДОУ Кожильский д/с ""Колосок""";Свидетельство.docx;Копии документов;/blz/blz_ds_koj/DocLib15/Свидетельство.docx;1,671697793
"МБДОУ Кожильский д/с ""Колосок""";Свидетельство.docx;pages;/blz/blz_ds_koj/pages/Свидетельство.docx;1,671692978
"МБДОУ Кожильский д/с ""Колосок""";Свидетельство.docx;Элементы интерфейса ОУ;/blz/blz_ds_koj/DocLib/Свидетельство.docx;1,6700673
"МБДОУ Кожильский д/с ""Колосок""";План ФХД на 2015 год.doc;Отчеты о ФХД;/blz/blz_ds_koj/DocLib11/План ФХД на 2015 год.doc;1,561143984
"МБДОУ Кожильский д/с ""Колосок""";Приказ об ортанизации питания детей.docx;pages;/blz/blz_ds_koj/pages/Приказ об ортанизации питания детей.docx;1,536345653
"МБДОУ Кожильский д/с ""Колосок""";лицензия.jpg;Общие документы;/blz/blz_ds_koj/commondocs/лицензия.jpg;1,445403029
"МБДОУ Кожильский д/с ""Колосок""";выставка поделок.docx;pages;/blz/blz_ds_koj/pages/выставка поделок.docx;1,324389215
"МБДОУ Кожильский д/с ""Колосок""";уточненные сведения от 12.01.2015г.pdf;Финансово-хозяйственная деятельность;/blz/blz_ds_koj/fin/уточненные сведения от 12.01.2015г.pdf;1,266302045
"МБДОУ Кожильский д/с ""Колосок""";отчет по муниципальному заданию за 2015 год.pdf;Отчеты о ФХД;/blz/blz_ds_koj/DocLib11/отчет по муниципальному заданию за 2015 год.pdf;1,181207239
"МБДОУ Кожильский д/с ""Колосок""";nasi begunji.docx;;/blz/blz_ds_koj/Lists/News/Attachments/22/nasi begunji.docx;1,173369699
"МБДОУ Кожильский д/с ""Колосок""";Изменение ПФХД от 15.04.2015.pdf;Финансово-хозяйственная деятельность;/blz/blz_ds_koj/fin/Изменение ПФХД от 15.04.2015.pdf;1,154385478
"МБДОУ Кожильский д/с ""Колосок""";Новогодние утренники.docx;;/blz/blz_ds_koj/Lists/News/Attachments/29/Новогодние утренники.docx;1,152754022
"МБДОУ Кожильский д/с ""Колосок""";Изменение ПФХД от 16.12.2016.pdf;Финансово-хозяйственная деятельность;/blz/blz_ds_koj/fin/Изменение ПФХД от 16.12.2016.pdf;1,138339613
"МБДОУ Кожильский д/с ""Колосок""";Отчёт о самообследовании за 2015-2016 учебный год.docx;Публичные доклады;/blz/blz_ds_koj/publ_doc/Отчёт о самообследовании за 2015-2016 учебный год.docx;1,060909956
"МБДОУ Кожильский д/с ""Колосок""";Новый год.docx;pages;/blz/blz_ds_koj/pages/Новый год.docx;1,02390652
"МБДОУ Кожильский д/с ""Колосок""";Копия решения учредителя о создании образовательной организации.docx;Копии документов;/blz/blz_ds_koj/DocLib15/Копия решения учредителя о создании образовательной организации.docx;1,023861255
"МБДОУ Кожильский д/с ""Колосок""";Отчет по предписанию Пожнадзора.pdf;Предписания и отчеты;/blz/blz_ds_koj/DocLib12/Отчет по предписанию Пожнадзора.pdf;1,023364306
"МБДОУ Кожильский д/с ""Колосок""";Краеведческий музей.docx;pages;/blz/blz_ds_koj/pages/Краеведческий музей.docx;0,982134877
"МБДОУ Кожильский д/с ""Колосок""";Изменение ПФХД от 02.01.2015.pdf;Финансово-хозяйственная деятельность;/blz/blz_ds_koj/fin/Изменение ПФХД от 02.01.2015.pdf;0,966299926
"МБДОУ Кожильский д/с ""Колосок""";Договор о медицинском обслуживании детей в МБДОУ.docx;Копии документов;/blz/blz_ds_koj/DocLib15/Договор о медицинском обслуживании детей в МБДОУ.docx;0,919499083
"МБДОУ Кожильский д/с ""Колосок""";Сетка НОД  на 2014-2015 учебный год.docx;Элементы интерфейса ОУ;/blz/blz_ds_koj/DocLib/Сетка НОД  на 2014-2015 учебный год.docx;0,884521966
"МБДОУ Кожильский д/с ""Колосок""";финансово-экономическая деятельность  2015(85-К).pdf;Отчеты о ФХД;/blz/blz_ds_koj/DocLib11/финансово-экономическая деятельность  2015(85-К).pdf;0,813789563
"МБДОУ Кожильский д/с ""Колосок""";уточненные сведения об операциях с целевыми субсидиями от 31 января 2015 г.docx;Отчеты о ФХД;/blz/blz_ds_koj/DocLib11/уточненные сведения об операциях с целевыми субсидиями от 31 января 2015 г.docx;0,796827809
"МБДОУ Кожильский д/с ""Колосок""";Приказ организации питания детей в ДОУ.docx;pages;/blz/blz_ds_koj/pages/Приказ организации питания детей в ДОУ.docx;0,757710414
"МБДОУ Кожильский д/с ""Колосок""";ФХД на 1 октября 2014 год.docx;Общие документы;/blz/blz_ds_koj/commondocs/ФХД на 1 октября 2014 год.docx;0,754465799
"МБДОУ Кожильский д/с ""Колосок""";Сведения об операциях с целевыми субсидиями от 1 декабря.docx;Отчеты о ФХД;/blz/blz_ds_koj/DocLib11/Сведения об операциях с целевыми субсидиями от 1 декабря.docx;0,740908531
